,scrapped_jobs,official_match_title,distance
341,Research Fellow (Quantum Emitter and Sensing),Geneticists,137.15692
342,Research Fellow (Quantum Emitter and Sensing),Molecular and Cellular Biologists,138.92014
343,Research Fellow (Quantum Emitter and Sensing),Biochemists and Biophysicists,141.59152
344,Research Fellow (Quantum Emitter and Sensing),Materials Scientists,142.10245
345,Research Fellow (Quantum Emitter and Sensing),Physicists,143.23117
346,Research Fellow (Quantum Emitter and Sensing),Nuclear Monitoring Technicians,154.30408
347,Research Fellow (Quantum Emitter and Sensing),Bioinformatics Scientists,155.54237
348,Research Fellow (Quantum Emitter and Sensing),"Geoscientists, Except Hydrologists and Geographers",157.06258
349,Research Fellow (Quantum Emitter and Sensing),Remote Sensing Scientists and Technologists,157.064
350,"Research Fellow [Multi-party Quantum Cryptography],Centre",Astronomers,139.4641
351,"Research Fellow [Multi-party Quantum Cryptography],Centre",Materials Scientists,142.71826
352,"Research Fellow [Multi-party Quantum Cryptography],Centre",Physicists,152.99542
353,"Research Fellow [Multi-party Quantum Cryptography],Centre",Nanosystems Engineers,153.8547
354,"Research Fellow [Multi-party Quantum Cryptography],Centre",Biostatisticians,175.60196
355,"Research Fellow [Multi-party Quantum Cryptography],Centre",Survey Researchers,176.88174
356,"Research Fellow [Multi-party Quantum Cryptography],Centre",Bioinformatics Scientists,178.23294
357,"Research Fellow [Multi-party Quantum Cryptography],Centre","Agricultural Sciences Teachers, Postsecondary",178.46536
358,"Research Fellow [Multi-party Quantum Cryptography],Centre",Remote Sensing Scientists and Technologists,178.94994
359,"Research Fellow [Multi-party Quantum Cryptography],Centre",Atmospheric and Space Scientists,179.97488
360,Temporary Researcher,Astronomers,148.39374
361,Temporary Researcher,Physicists,161.44814
362,Temporary Researcher,Materials Scientists,167.48958
363,Temporary Researcher,"Agricultural Sciences Teachers, Postsecondary",176.09778
364,Temporary Researcher,Economists,185.3812
365,Temporary Researcher,"Forestry and Conservation Science Teachers, Postsecondary",186.70245
366,Temporary Researcher,"Recreation and Fitness Studies Teachers, Postsecondary",187.5693
367,Temporary Researcher,Geneticists,190.77261
368,Temporary Researcher,"Psychology Teachers, Postsecondary",191.1984
369,Temporary Researcher,"Health Specialties Teachers, Postsecondary",192.94418
370,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Astronomers,213.25739
371,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Physicists,215.32736
372,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Materials Scientists,218.11388
373,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Training and Development Specialists,218.99544
374,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Agricultural Sciences Teachers, Postsecondary",219.41762
375,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Recreation and Fitness Studies Teachers, Postsecondary",220.28877
376,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Education Administrators, Kindergarten through Secondary",222.43457
377,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Forestry and Conservation Science Teachers, Postsecondary",222.89603
378,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Architecture Teachers, Postsecondary",223.78763
379,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Psychology Teachers, Postsecondary",226.42796
380,Head of Science and Innovation,Industrial Ecologists,158.98228
381,Head of Science and Innovation,Remote Sensing Scientists and Technologists,159.00018
382,Head of Science and Innovation,Energy Auditors,165.76141
383,Head of Science and Innovation,Astronomers,167.27905
384,Head of Science and Innovation,Urban and Regional Planners,168.18286
385,Head of Science and Innovation,Materials Scientists,171.01404
386,Head of Science and Innovation,Biologists,173.5964
387,Head of Science and Innovation,"Environmental Science and Protection Technicians, Including Health",175.70587
388,Head of Science and Innovation,Physicists,177.44797
389,Head of Science and Innovation,Atmospheric and Space Scientists,177.59247
390,Quantum Sensing Expert | Delft,Materials Scientists,120.1073
391,Quantum Sensing Expert | Delft,Nanosystems Engineers,128.32544
392,Quantum Sensing Expert | Delft,Telecommunications Engineering Specialists,137.41849
393,Quantum Sensing Expert | Delft,Statisticians,149.41595
394,Quantum Sensing Expert | Delft,Bioinformatics Scientists,150.10239
395,Quantum Sensing Expert | Delft,Photonics Engineers,152.35419
396,Quantum Sensing Expert | Delft,Physicists,152.9544
397,Quantum Sensing Expert | Delft,Astronomers,155.05519
398,Quantum Sensing Expert | Delft,Computer Network Architects,156.894
399,Quantum Sensing Expert | Delft,Biostatisticians,158.11485
400,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Materials Scientists,144.60748
401,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Nanosystems Engineers,146.26993
402,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Astronomers,151.884
403,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Telecommunications Engineering Specialists,159.31851
404,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Physicists,162.16585
405,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Bioinformatics Scientists,164.60657
406,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Bioengineers and Biomedical Engineers,167.30417
407,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Statisticians,167.62506
408,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Remote Sensing Scientists and Technologists,168.3195
409,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Fuel Cell Engineers,168.58292
410,"Research Scientist, Future Customer Research",Materials Scientists,163.44046
411,"Research Scientist, Future Customer Research",Astronomers,171.20566
412,"Research Scientist, Future Customer Research",Physicists,175.05109
413,"Research Scientist, Future Customer Research",Bioinformatics Scientists,175.729
414,"Research Scientist, Future Customer Research",Nanosystems Engineers,178.94708
415,"Research Scientist, Future Customer Research",Telecommunications Engineering Specialists,180.17868
416,"Research Scientist, Future Customer Research",Energy Auditors,180.64665
417,"Research Scientist, Future Customer Research",Remote Sensing Scientists and Technologists,186.07678
418,"Research Scientist, Future Customer Research",Forensic Science Technicians,188.5333
419,"Research Scientist, Future Customer Research",Bioengineers and Biomedical Engineers,189.66129
420,Quantum Information Science Consultant,Materials Scientists,97.11998
421,Quantum Information Science Consultant,Telecommunications Engineering Specialists,99.11951
422,Quantum Information Science Consultant,Bioinformatics Scientists,102.00664
423,Quantum Information Science Consultant,Statisticians,105.04291
424,Quantum Information Science Consultant,Biostatisticians,105.17956
425,Quantum Information Science Consultant,Nanosystems Engineers,105.23301
426,Quantum Information Science Consultant,Survey Researchers,112.50047
427,Quantum Information Science Consultant,Forensic Science Technicians,113.02424
428,Quantum Information Science Consultant,Astronomers,116.11917
429,Quantum Information Science Consultant,Industrial-Organizational Psychologists,116.913704
430,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Materials Scientists,180.85071
431,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Physicists,183.61235
432,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Astronomers,188.41039
433,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Nanosystems Engineers,189.16704
434,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Statisticians,192.57364
435,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Fuel Cell Engineers,192.83395
436,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,"Electronics Engineers, Except Computer",196.42365
437,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Photonics Technicians,196.63742
438,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Quality Control Analysts,197.87999
439,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Chemical Technicians,198.74075
440,Research Associate - LCLS,Materials Scientists,139.14798
441,Research Associate - LCLS,Physicists,146.2034
442,Research Associate - LCLS,Nanosystems Engineers,149.769
443,Research Associate - LCLS,Astronomers,151.23169
444,Research Associate - LCLS,Forensic Science Technicians,152.19244
445,Research Associate - LCLS,Nuclear Monitoring Technicians,163.7365
446,Research Associate - LCLS,Statisticians,164.08295
447,Research Associate - LCLS,Biostatisticians,169.62122
448,Research Associate - LCLS,Telecommunications Engineering Specialists,170.71585
449,Research Associate - LCLS,Microsystems Engineers,172.8703
450,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Astronomers,137.31699
451,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Materials Scientists,140.76826
452,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Physicists,151.17111
453,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Nanosystems Engineers,153.78226
454,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Biostatisticians,175.95091
455,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Survey Researchers,176.76727
456,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",177.19823
457,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,178.13402
458,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Bioinformatics Scientists,179.24948
459,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Geneticists,179.34653
460,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Physicists,146.75784
461,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Materials Scientists,154.66331
462,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Astronomers,166.9538
463,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Statisticians,180.36374
464,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Nanosystems Engineers,180.87218
465,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity","Geoscientists, Except Hydrologists and Geographers",181.92282
466,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Remote Sensing Scientists and Technologists,188.39801
467,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Atmospheric and Space Scientists,190.86627
468,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Forensic Science Technicians,191.44818
469,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Biochemists and Biophysicists,191.8611
470,Quantum Information Science Consultant,Materials Scientists,97.8038
471,Quantum Information Science Consultant,Telecommunications Engineering Specialists,99.144905
472,Quantum Information Science Consultant,Bioinformatics Scientists,102.60542
473,Quantum Information Science Consultant,Biostatisticians,105.272484
474,Quantum Information Science Consultant,Statisticians,105.35643
475,Quantum Information Science Consultant,Nanosystems Engineers,105.642586
476,Quantum Information Science Consultant,Survey Researchers,112.58374
477,Quantum Information Science Consultant,Forensic Science Technicians,113.56886
478,Quantum Information Science Consultant,Astronomers,116.545456
479,Quantum Information Science Consultant,Industrial-Organizational Psychologists,116.96678
480,"Research Fellow, Quantum Computation and Simulation",Astronomers,141.03044
481,"Research Fellow, Quantum Computation and Simulation",Materials Scientists,143.83908
482,"Research Fellow, Quantum Computation and Simulation",Physicists,154.64046
483,"Research Fellow, Quantum Computation and Simulation",Nanosystems Engineers,157.29333
484,"Research Fellow, Quantum Computation and Simulation",Biostatisticians,178.36835
485,"Research Fellow, Quantum Computation and Simulation","Agricultural Sciences Teachers, Postsecondary",179.26266
486,"Research Fellow, Quantum Computation and Simulation",Survey Researchers,180.40344
487,"Research Fellow, Quantum Computation and Simulation",Bioinformatics Scientists,181.7352
488,"Research Fellow, Quantum Computation and Simulation",Atmospheric and Space Scientists,182.89885
489,"Research Fellow, Quantum Computation and Simulation",Remote Sensing Scientists and Technologists,183.13193
490,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Materials Scientists,131.63991
491,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Telecommunications Engineering Specialists,138.4343
492,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Web Developers,139.342
493,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Statisticians,141.83832
494,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Biostatisticians,142.25014
495,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,"Electronics Engineers, Except Computer",145.44461
496,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Bioinformatics Scientists,146.12071
497,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Astronomers,146.19081
498,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Nanosystems Engineers,146.41727
499,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Computer and Information Research Scientists,147.14725
500,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Astronomers,135.68951
501,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Materials Scientists,139.77417
502,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Physicists,149.59521
503,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Nanosystems Engineers,151.36093
504,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Biostatisticians,173.32698
505,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Survey Researchers,174.13374
506,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,174.94315
507,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",175.51097
508,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Bioinformatics Scientists,175.99716
509,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Geneticists,176.48392
510,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Astronomers,141.03044
511,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Materials Scientists,143.83908
512,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Physicists,154.64046
513,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Nanosystems Engineers,157.29333
514,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Biostatisticians,178.36835
515,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",179.26266
516,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Survey Researchers,180.40344
517,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Bioinformatics Scientists,181.7352
518,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Atmospheric and Space Scientists,182.89885
519,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,183.13193
520,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Astronomers,135.68951
521,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Materials Scientists,139.77417
522,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Physicists,149.59521
523,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Nanosystems Engineers,151.36093
524,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Biostatisticians,173.32698
525,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Survey Researchers,174.13374
526,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,174.94315
527,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",175.51097
528,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Bioinformatics Scientists,175.99716
529,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Geneticists,176.48392
530,Head of Weather and Climate Research,Remote Sensing Scientists and Technologists,188.42766
531,Head of Weather and Climate Research,Industrial Ecologists,189.61472
532,Head of Weather and Climate Research,Energy Auditors,193.9604
533,Head of Weather and Climate Research,Physicists,199.57826
534,Head of Weather and Climate Research,Astronomers,199.58803
535,Head of Weather and Climate Research,Materials Scientists,203.08655
536,Head of Weather and Climate Research,Forensic Science Technicians,204.12454
537,Head of Weather and Climate Research,Urban and Regional Planners,206.29034
538,Head of Weather and Climate Research,Web Developers,206.6658
539,Head of Weather and Climate Research,Atmospheric and Space Scientists,207.24194
540,Research Fellow (Multi-party Quantum Cryptography),Astronomers,139.4641
541,Research Fellow (Multi-party Quantum Cryptography),Materials Scientists,142.71826
542,Research Fellow (Multi-party Quantum Cryptography),Physicists,152.99542
543,Research Fellow (Multi-party Quantum Cryptography),Nanosystems Engineers,153.8547
544,Research Fellow (Multi-party Quantum Cryptography),Biostatisticians,175.60196
545,Research Fellow (Multi-party Quantum Cryptography),Survey Researchers,176.88174
546,Research Fellow (Multi-party Quantum Cryptography),Bioinformatics Scientists,178.23294
547,Research Fellow (Multi-party Quantum Cryptography),"Agricultural Sciences Teachers, Postsecondary",178.46536
548,Research Fellow (Multi-party Quantum Cryptography),Remote Sensing Scientists and Technologists,178.94994
549,Research Fellow (Multi-party Quantum Cryptography),Atmospheric and Space Scientists,179.97488
550,Quantum Engineering,Materials Scientists,106.89521
551,Quantum Engineering,Astronomers,108.00958
552,Quantum Engineering,"Agricultural Sciences Teachers, Postsecondary",109.134766
553,Quantum Engineering,"Forestry and Conservation Science Teachers, Postsecondary",113.772575
554,Quantum Engineering,"Psychology Teachers, Postsecondary",114.88211
555,Quantum Engineering,"Health Specialties Teachers, Postsecondary",118.46536
556,Quantum Engineering,"Social Work Teachers, Postsecondary",118.61139
557,Quantum Engineering,"Environmental Science Teachers, Postsecondary",120.54049
558,Quantum Engineering,"Geography Teachers, Postsecondary",120.93095
559,Quantum Engineering,"Anthropology and Archeology Teachers, Postsecondary",120.945656
560,Hybrid Cloud Research Student- Research Lab,Materials Scientists,121.98185
561,Hybrid Cloud Research Student- Research Lab,"Agricultural Sciences Teachers, Postsecondary",132.08392
562,Hybrid Cloud Research Student- Research Lab,Web Developers,134.53671
563,Hybrid Cloud Research Student- Research Lab,"Computer Science Teachers, Postsecondary",135.86162
564,Hybrid Cloud Research Student- Research Lab,"Psychology Teachers, Postsecondary",135.90973
565,Hybrid Cloud Research Student- Research Lab,"Recreation and Fitness Studies Teachers, Postsecondary",136.0072
566,Hybrid Cloud Research Student- Research Lab,Computer and Information Research Scientists,136.30286
567,Hybrid Cloud Research Student- Research Lab,Telecommunications Engineering Specialists,136.41397
568,Hybrid Cloud Research Student- Research Lab,Astronomers,136.50392
569,Hybrid Cloud Research Student- Research Lab,"Forestry and Conservation Science Teachers, Postsecondary",136.86882
570,Postdoctoral Associate,Astronomers,100.61972
571,Postdoctoral Associate,Physicists,101.899414
572,Postdoctoral Associate,Materials Scientists,114.00012
573,Postdoctoral Associate,"Agricultural Sciences Teachers, Postsecondary",128.04532
574,Postdoctoral Associate,"Forestry and Conservation Science Teachers, Postsecondary",134.77968
575,Postdoctoral Associate,"Computer Science Teachers, Postsecondary",140.24988
576,Postdoctoral Associate,"Geography Teachers, Postsecondary",140.67166
577,Postdoctoral Associate,"Engineering Teachers, Postsecondary",141.95505
578,Postdoctoral Associate,"Nursing Instructors and Teachers, Postsecondary",142.11076
579,Postdoctoral Associate,Biostatisticians,142.34969
580,Research Fellow (Multi-party Quantum Cryptography),Astronomers,139.4641
581,Research Fellow (Multi-party Quantum Cryptography),Materials Scientists,142.71826
582,Research Fellow (Multi-party Quantum Cryptography),Physicists,152.99542
583,Research Fellow (Multi-party Quantum Cryptography),Nanosystems Engineers,153.8547
584,Research Fellow (Multi-party Quantum Cryptography),Biostatisticians,175.60196
585,Research Fellow (Multi-party Quantum Cryptography),Survey Researchers,176.88174
586,Research Fellow (Multi-party Quantum Cryptography),Bioinformatics Scientists,178.23294
587,Research Fellow (Multi-party Quantum Cryptography),"Agricultural Sciences Teachers, Postsecondary",178.46536
588,Research Fellow (Multi-party Quantum Cryptography),Remote Sensing Scientists and Technologists,178.94994
589,Research Fellow (Multi-party Quantum Cryptography),Atmospheric and Space Scientists,179.97488
590,Research Fellow (Disorder and Interactions in Topological Lattices),Astronomers,138.54951
591,Research Fellow (Disorder and Interactions in Topological Lattices),Materials Scientists,142.08609
592,Research Fellow (Disorder and Interactions in Topological Lattices),Physicists,152.17639
593,Research Fellow (Disorder and Interactions in Topological Lattices),Nanosystems Engineers,152.99979
594,Research Fellow (Disorder and Interactions in Topological Lattices),Biostatisticians,174.34875
595,Research Fellow (Disorder and Interactions in Topological Lattices),Survey Researchers,176.05638
596,Research Fellow (Disorder and Interactions in Topological Lattices),"Agricultural Sciences Teachers, Postsecondary",177.2295
597,Research Fellow (Disorder and Interactions in Topological Lattices),Bioinformatics Scientists,177.27197
598,Research Fellow (Disorder and Interactions in Topological Lattices),Remote Sensing Scientists and Technologists,177.89865
599,Research Fellow (Disorder and Interactions in Topological Lattices),Atmospheric and Space Scientists,178.61832
600,"Research Fellow, Multi-party Quantum Cryptography",Astronomers,141.03044
601,"Research Fellow, Multi-party Quantum Cryptography",Materials Scientists,143.83908
602,"Research Fellow, Multi-party Quantum Cryptography",Physicists,154.64046
603,"Research Fellow, Multi-party Quantum Cryptography",Nanosystems Engineers,157.29333
604,"Research Fellow, Multi-party Quantum Cryptography",Biostatisticians,178.36835
605,"Research Fellow, Multi-party Quantum Cryptography","Agricultural Sciences Teachers, Postsecondary",179.26266
606,"Research Fellow, Multi-party Quantum Cryptography",Survey Researchers,180.40344
607,"Research Fellow, Multi-party Quantum Cryptography",Bioinformatics Scientists,181.7352
608,"Research Fellow, Multi-party Quantum Cryptography",Atmospheric and Space Scientists,182.89885
609,"Research Fellow, Multi-party Quantum Cryptography",Remote Sensing Scientists and Technologists,183.13193
610,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Astronomers,141.03044
611,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Materials Scientists,143.83908
612,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Physicists,154.64046
613,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Nanosystems Engineers,157.29333
614,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Biostatisticians,178.36835
615,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",179.26266
616,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Survey Researchers,180.40344
617,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Bioinformatics Scientists,181.7352
618,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Atmospheric and Space Scientists,182.89885
619,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,183.13193
620,Internship | Quantum Algorithms | Distributed Quantum Computing,Telecommunications Engineering Specialists,167.31886
621,Internship | Quantum Algorithms | Distributed Quantum Computing,Materials Scientists,177.27473
622,Internship | Quantum Algorithms | Distributed Quantum Computing,Web Administrators,180.24197
623,Internship | Quantum Algorithms | Distributed Quantum Computing,Web Developers,181.14325
624,Internship | Quantum Algorithms | Distributed Quantum Computing,Network and Computer Systems Administrators,184.24066
625,Internship | Quantum Algorithms | Distributed Quantum Computing,Statisticians,185.24033
626,Internship | Quantum Algorithms | Distributed Quantum Computing,Database Administrators,185.55063
627,Internship | Quantum Algorithms | Distributed Quantum Computing,Biostatisticians,187.6055
628,Internship | Quantum Algorithms | Distributed Quantum Computing,Computer Network Architects,188.93001
629,Internship | Quantum Algorithms | Distributed Quantum Computing,Physicists,189.29433
630,Intern Tech Research & Development -6G,Wind Energy Operations Managers,223.93506
631,Intern Tech Research & Development -6G,Web Developers,225.66685
632,Intern Tech Research & Development -6G,Materials Scientists,237.48883
633,Intern Tech Research & Development -6G,Astronomers,237.8541
634,Intern Tech Research & Development -6G,Search Marketing Strategists,238.78348
635,Intern Tech Research & Development -6G,Energy Auditors,239.84875
636,Intern Tech Research & Development -6G,"Electronics Engineers, Except Computer",240.78122
637,Intern Tech Research & Development -6G,Nanosystems Engineers,241.28555
638,Intern Tech Research & Development -6G,Physicists,242.56024
639,Intern Tech Research & Development -6G,Mechanical Engineering Technologists and Technicians,245.70161
640,"Research Intern, PhD, Fall 2022","Architecture Teachers, Postsecondary",149.36618
641,"Research Intern, PhD, Fall 2022","Foreign Language and Literature Teachers, Postsecondary",151.4179
642,"Research Intern, PhD, Fall 2022","Art, Drama, and Music Teachers, Postsecondary",153.93991
643,"Research Intern, PhD, Fall 2022","Philosophy and Religion Teachers, Postsecondary",154.88492
644,"Research Intern, PhD, Fall 2022","History Teachers, Postsecondary",158.95459
645,"Research Intern, PhD, Fall 2022","Forestry and Conservation Science Teachers, Postsecondary",159.19455
646,"Research Intern, PhD, Fall 2022","Geography Teachers, Postsecondary",160.01682
647,"Research Intern, PhD, Fall 2022","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",160.1991
648,"Research Intern, PhD, Fall 2022","Engineering Teachers, Postsecondary",160.57544
649,"Research Intern, PhD, Fall 2022","Social Work Teachers, Postsecondary",161.22964
650,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Materials Scientists,146.28119
651,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Nanosystems Engineers,147.95651
652,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Astronomers,155.56488
653,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Telecommunications Engineering Specialists,161.55925
654,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Physicists,164.19714
655,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Bioinformatics Scientists,166.57858
656,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Statisticians,167.63608
657,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Fuel Cell Engineers,169.23349
658,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Microsystems Engineers,171.70984
659,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies","Electronics Engineers, Except Computer",172.79437
660,Quantum Centre and Network Manager,Astronomers,159.17207
661,Quantum Centre and Network Manager,Materials Scientists,160.28558
662,Quantum Centre and Network Manager,Physicists,166.68478
663,Quantum Centre and Network Manager,Molecular and Cellular Biologists,179.77713
664,Quantum Centre and Network Manager,"Agricultural Sciences Teachers, Postsecondary",179.80292
665,Quantum Centre and Network Manager,Geneticists,180.29251
666,Quantum Centre and Network Manager,"Forestry and Conservation Science Teachers, Postsecondary",182.26904
667,Quantum Centre and Network Manager,Biostatisticians,183.29047
668,Quantum Centre and Network Manager,"Geography Teachers, Postsecondary",184.70335
669,Quantum Centre and Network Manager,Biochemists and Biophysicists,186.71617
670,Research Staff Member - Quantum (Any Location),Web Developers,187.28108
671,Research Staff Member - Quantum (Any Location),Database Administrators,205.08499
672,Research Staff Member - Quantum (Any Location),Telecommunications Engineering Specialists,209.69168
673,Research Staff Member - Quantum (Any Location),Search Marketing Strategists,213.26236
674,Research Staff Member - Quantum (Any Location),Bioinformatics Technicians,213.78165
675,Research Staff Member - Quantum (Any Location),Materials Scientists,214.11911
676,Research Staff Member - Quantum (Any Location),Network and Computer Systems Administrators,214.36688
677,Research Staff Member - Quantum (Any Location),Nanosystems Engineers,214.90393
678,Research Staff Member - Quantum (Any Location),Blockchain Engineers,215.65848
679,Research Staff Member - Quantum (Any Location),Biostatisticians,216.15482
680,Postdoctoral Fellow,Astronomers,117.770546
681,Postdoctoral Fellow,Materials Scientists,119.01285
682,Postdoctoral Fellow,Physicists,125.399574
683,Postdoctoral Fellow,"Agricultural Sciences Teachers, Postsecondary",139.71854
684,Postdoctoral Fellow,"Forestry and Conservation Science Teachers, Postsecondary",140.63766
685,Postdoctoral Fellow,"Geography Teachers, Postsecondary",145.17578
686,Postdoctoral Fellow,"Engineering Teachers, Postsecondary",146.26517
