,scrapped_jobs,official_match_title,match_code,distance
292,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Astronomers,19-2011.00,188.41037
293,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Nanosystems Engineers,17-2199.09,189.16705
294,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Statisticians,15-2041.00,192.57368
295,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Fuel Cell Engineers,17-2141.01,192.83397
296,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,"Electronics Engineers, Except Computer",17-2072.00,196.42365
297,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Photonics Technicians,17-3029.08,196.63742
298,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Quality Control Analysts,19-4099.01,197.88
299,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Chemical Technicians,19-4031.00,198.74075
300,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Astronomers,19-2011.00,141.05502
301,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Materials Scientists,19-2032.00,144.70355
302,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Physicists,19-2012.00,152.2066
303,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,154.15659
304,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Biostatisticians,15-2041.01,176.96568
305,"Research Fellow, Flying Qubits, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,180.62314
306,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Survey Researchers,19-3022.00,181.58775
307,"Research Fellow, Flying Qubits, Centre For Quantum Technologies","Electronics Engineers, Except Computer",17-2072.00,182.78265
308,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Bioinformatics Scientists,19-1029.01,182.96857
309,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,183.34811
310,"Research Fellow [Multi-party Quantum Cryptography],Centre",Astronomers,19-2011.00,139.46405
311,"Research Fellow [Multi-party Quantum Cryptography],Centre",Materials Scientists,19-2032.00,142.71826
312,"Research Fellow [Multi-party Quantum Cryptography],Centre",Physicists,19-2012.00,152.99539
313,"Research Fellow [Multi-party Quantum Cryptography],Centre",Nanosystems Engineers,17-2199.09,153.85469
314,"Research Fellow [Multi-party Quantum Cryptography],Centre",Biostatisticians,15-2041.01,175.60193
315,"Research Fellow [Multi-party Quantum Cryptography],Centre",Survey Researchers,19-3022.00,176.88176
316,"Research Fellow [Multi-party Quantum Cryptography],Centre",Bioinformatics Scientists,19-1029.01,178.23294
317,"Research Fellow [Multi-party Quantum Cryptography],Centre","Agricultural Sciences Teachers, Postsecondary",25-1041.00,178.46532
318,"Research Fellow [Multi-party Quantum Cryptography],Centre",Remote Sensing Scientists and Technologists,19-2099.01,178.94992
319,"Research Fellow [Multi-party Quantum Cryptography],Centre",Atmospheric and Space Scientists,19-2021.00,179.97485
320,Open application,Materials Scientists,19-2032.00,191.2297
321,Open application,Astronomers,19-2011.00,195.59975
322,Open application,Web Developers,15-1254.00,196.60553
323,Open application,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,200.56003
324,Open application,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,201.25996
325,Open application,Physicists,19-2012.00,201.82837
326,Open application,Biostatisticians,15-2041.01,203.14526
327,Open application,"Computer Science Teachers, Postsecondary",25-1021.00,203.3685
328,Open application,"Biological Science Teachers, Postsecondary",25-1042.00,205.6587
329,Open application,"Health Specialties Teachers, Postsecondary",25-1071.00,206.7911
330,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Materials Scientists,19-2032.00,180.85071
331,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Physicists,19-2012.00,183.61235
332,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Astronomers,19-2011.00,188.41037
333,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Nanosystems Engineers,17-2199.09,189.16705
334,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Statisticians,15-2041.00,192.57368
335,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Fuel Cell Engineers,17-2141.01,192.83397
336,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,"Electronics Engineers, Except Computer",17-2072.00,196.42365
337,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Photonics Technicians,17-3029.08,196.63742
338,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Quality Control Analysts,19-4099.01,197.88
339,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Chemical Technicians,19-4031.00,198.74075
340,Research Fellow (Quantum Emitter and Sensing),Astronomers,19-2011.00,131.58846
341,Research Fellow (Quantum Emitter and Sensing),Geneticists,19-1029.03,137.15695
342,Research Fellow (Quantum Emitter and Sensing),Molecular and Cellular Biologists,19-1029.02,138.92014
343,Research Fellow (Quantum Emitter and Sensing),Biochemists and Biophysicists,19-1021.00,141.59154
344,Research Fellow (Quantum Emitter and Sensing),Materials Scientists,19-2032.00,142.10245
345,Research Fellow (Quantum Emitter and Sensing),Physicists,19-2012.00,143.23117
346,Research Fellow (Quantum Emitter and Sensing),Nuclear Monitoring Technicians,19-4051.02,154.3041
347,Research Fellow (Quantum Emitter and Sensing),Bioinformatics Scientists,19-1029.01,155.54239
348,Research Fellow (Quantum Emitter and Sensing),"Geoscientists, Except Hydrologists and Geographers",19-2042.00,157.06262
349,Research Fellow (Quantum Emitter and Sensing),Remote Sensing Scientists and Technologists,19-2099.01,157.064
350,"Research Fellow [Multi-party Quantum Cryptography],Centre",Astronomers,19-2011.00,139.46405
351,"Research Fellow [Multi-party Quantum Cryptography],Centre",Materials Scientists,19-2032.00,142.71826
352,"Research Fellow [Multi-party Quantum Cryptography],Centre",Physicists,19-2012.00,152.99539
353,"Research Fellow [Multi-party Quantum Cryptography],Centre",Nanosystems Engineers,17-2199.09,153.85469
354,"Research Fellow [Multi-party Quantum Cryptography],Centre",Biostatisticians,15-2041.01,175.60193
355,"Research Fellow [Multi-party Quantum Cryptography],Centre",Survey Researchers,19-3022.00,176.88176
356,"Research Fellow [Multi-party Quantum Cryptography],Centre",Bioinformatics Scientists,19-1029.01,178.23294
357,"Research Fellow [Multi-party Quantum Cryptography],Centre","Agricultural Sciences Teachers, Postsecondary",25-1041.00,178.46532
358,"Research Fellow [Multi-party Quantum Cryptography],Centre",Remote Sensing Scientists and Technologists,19-2099.01,178.94992
359,"Research Fellow [Multi-party Quantum Cryptography],Centre",Atmospheric and Space Scientists,19-2021.00,179.97485
360,Temporary Researcher,Astronomers,19-2011.00,148.39374
361,Temporary Researcher,Physicists,19-2012.00,161.44815
362,Temporary Researcher,Materials Scientists,19-2032.00,167.48962
363,Temporary Researcher,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,176.09782
364,Temporary Researcher,Economists,19-3011.00,185.38124
365,Temporary Researcher,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,186.7025
366,Temporary Researcher,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,187.56934
367,Temporary Researcher,Geneticists,19-1029.03,190.77264
368,Temporary Researcher,"Psychology Teachers, Postsecondary",25-1066.00,191.19844
369,Temporary Researcher,"Health Specialties Teachers, Postsecondary",25-1071.00,192.94421
370,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Astronomers,19-2011.00,213.25739
371,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Physicists,19-2012.00,215.32733
372,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Materials Scientists,19-2032.00,218.11389
373,1st September 2022 Start Project Manager Graduate Leadership Development Programme,Training and Development Specialists,13-1151.00,218.99545
374,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,219.41763
375,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,220.28876
376,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Education Administrators, Kindergarten through Secondary",11-9032.00,222.43457
377,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,222.89603
378,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Architecture Teachers, Postsecondary",25-1031.00,223.78763
379,1st September 2022 Start Project Manager Graduate Leadership Development Programme,"Psychology Teachers, Postsecondary",25-1066.00,226.42795
380,Head of Science and Innovation,Industrial Ecologists,19-2041.03,158.98228
381,Head of Science and Innovation,Remote Sensing Scientists and Technologists,19-2099.01,159.00018
382,Head of Science and Innovation,Energy Auditors,47-4011.01,165.76143
383,Head of Science and Innovation,Astronomers,19-2011.00,167.27902
384,Head of Science and Innovation,Urban and Regional Planners,19-3051.00,168.18285
385,Head of Science and Innovation,Materials Scientists,19-2032.00,171.01404
386,Head of Science and Innovation,Biologists,19-1029.04,173.59639
387,Head of Science and Innovation,"Environmental Science and Protection Technicians, Including Health",19-4042.00,175.70587
388,Head of Science and Innovation,Physicists,19-2012.00,177.44797
389,Head of Science and Innovation,Atmospheric and Space Scientists,19-2021.00,177.59245
390,Quantum Sensing Expert | Delft,Materials Scientists,19-2032.00,120.1073
391,Quantum Sensing Expert | Delft,Nanosystems Engineers,17-2199.09,128.32544
392,Quantum Sensing Expert | Delft,Telecommunications Engineering Specialists,15-1241.01,137.41852
393,Quantum Sensing Expert | Delft,Statisticians,15-2041.00,149.41597
394,Quantum Sensing Expert | Delft,Bioinformatics Scientists,19-1029.01,150.10239
395,Quantum Sensing Expert | Delft,Photonics Engineers,17-2199.07,152.3542
396,Quantum Sensing Expert | Delft,Physicists,19-2012.00,152.95439
397,Quantum Sensing Expert | Delft,Astronomers,19-2011.00,155.05518
398,Quantum Sensing Expert | Delft,Computer Network Architects,15-1241.00,156.89401
399,Quantum Sensing Expert | Delft,Biostatisticians,15-2041.01,158.11484
400,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Materials Scientists,19-2032.00,144.60748
401,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Nanosystems Engineers,17-2199.09,146.26994
402,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Astronomers,19-2011.00,151.88399
403,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Telecommunications Engineering Specialists,15-1241.01,159.31853
404,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Physicists,19-2012.00,162.16586
405,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Bioinformatics Scientists,19-1029.01,164.60657
406,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Bioengineers and Biomedical Engineers,17-2031.00,167.30415
407,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Statisticians,15-2041.00,167.62509
408,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Remote Sensing Scientists and Technologists,19-2099.01,168.31949
409,Research Fellow(Atomic physics/Quantum sensors) Centre for Quantum Technologies,Fuel Cell Engineers,17-2141.01,168.58295
410,"Research Scientist, Future Customer Research",Materials Scientists,19-2032.00,163.44046
411,"Research Scientist, Future Customer Research",Astronomers,19-2011.00,171.20561
412,"Research Scientist, Future Customer Research",Physicists,19-2012.00,175.05109
413,"Research Scientist, Future Customer Research",Bioinformatics Scientists,19-1029.01,175.72896
414,"Research Scientist, Future Customer Research",Nanosystems Engineers,17-2199.09,178.94705
415,"Research Scientist, Future Customer Research",Telecommunications Engineering Specialists,15-1241.01,180.17871
416,"Research Scientist, Future Customer Research",Energy Auditors,47-4011.01,180.64664
417,"Research Scientist, Future Customer Research",Remote Sensing Scientists and Technologists,19-2099.01,186.07678
418,"Research Scientist, Future Customer Research",Forensic Science Technicians,19-4092.00,188.5333
419,"Research Scientist, Future Customer Research",Bioengineers and Biomedical Engineers,17-2031.00,189.66129
420,Quantum Information Science Consultant,Materials Scientists,19-2032.00,97.12001
421,Quantum Information Science Consultant,Telecommunications Engineering Specialists,15-1241.01,99.11952
422,Quantum Information Science Consultant,Bioinformatics Scientists,19-1029.01,102.00664
423,Quantum Information Science Consultant,Statisticians,15-2041.00,105.04294
424,Quantum Information Science Consultant,Biostatisticians,15-2041.01,105.17956
425,Quantum Information Science Consultant,Nanosystems Engineers,17-2199.09,105.233
426,Quantum Information Science Consultant,Survey Researchers,19-3022.00,112.500496
427,Quantum Information Science Consultant,Forensic Science Technicians,19-4092.00,113.02427
428,Quantum Information Science Consultant,Astronomers,19-2011.00,116.11916
429,Quantum Information Science Consultant,Industrial-Organizational Psychologists,19-3032.00,116.91371
430,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Materials Scientists,19-2032.00,180.85071
431,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Physicists,19-2012.00,183.61235
432,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Astronomers,19-2011.00,188.41037
433,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Nanosystems Engineers,17-2199.09,189.16705
434,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Statisticians,15-2041.00,192.57368
435,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Fuel Cell Engineers,17-2141.01,192.83397
436,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,"Electronics Engineers, Except Computer",17-2072.00,196.42365
437,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Photonics Technicians,17-3029.08,196.63742
438,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Quality Control Analysts,19-4099.01,197.88
439,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Chemical Technicians,19-4031.00,198.74075
440,Research Associate - LCLS,Materials Scientists,19-2032.00,139.14798
441,Research Associate - LCLS,Physicists,19-2012.00,146.2034
442,Research Associate - LCLS,Nanosystems Engineers,17-2199.09,149.76901
443,Research Associate - LCLS,Astronomers,19-2011.00,151.23169
444,Research Associate - LCLS,Forensic Science Technicians,19-4092.00,152.19244
445,Research Associate - LCLS,Nuclear Monitoring Technicians,19-4051.02,163.73648
446,Research Associate - LCLS,Statisticians,15-2041.00,164.08295
447,Research Associate - LCLS,Biostatisticians,15-2041.01,169.6212
448,Research Associate - LCLS,Telecommunications Engineering Specialists,15-1241.01,170.71585
449,Research Associate - LCLS,Microsystems Engineers,17-2199.06,172.87033
450,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Astronomers,19-2011.00,137.31699
451,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Materials Scientists,19-2032.00,140.76828
452,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Physicists,19-2012.00,151.17113
453,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Nanosystems Engineers,17-2199.09,153.78226
454,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Biostatisticians,15-2041.01,175.95091
455,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Survey Researchers,19-3022.00,176.7673
456,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,177.19824
457,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,178.13405
458,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Bioinformatics Scientists,19-1029.01,179.24951
459,"Research Assistant, Qubit Architectures, Centre for Quantum Technologies",Geneticists,19-1029.03,179.34656
460,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Physicists,19-2012.00,146.75784
461,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Materials Scientists,19-2032.00,154.66336
462,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Astronomers,19-2011.00,166.95378
463,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Statisticians,15-2041.00,180.36374
464,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Nanosystems Engineers,17-2199.09,180.8722
465,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity","Geoscientists, Except Hydrologists and Geographers",19-2042.00,181.92282
466,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Remote Sensing Scientists and Technologists,19-2099.01,188.398
467,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Atmospheric and Space Scientists,19-2021.00,190.86627
468,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Forensic Science Technicians,19-4092.00,191.44821
469,"PhD candidate, Chip-based platform for exploring the interface between quantum mechanics and general relativity",Biochemists and Biophysicists,19-1021.00,191.86113
470,Quantum Information Science Consultant,Materials Scientists,19-2032.00,97.80381
471,Quantum Information Science Consultant,Telecommunications Engineering Specialists,15-1241.01,99.14491
472,Quantum Information Science Consultant,Bioinformatics Scientists,19-1029.01,102.60542
473,Quantum Information Science Consultant,Biostatisticians,15-2041.01,105.27248
474,Quantum Information Science Consultant,Statisticians,15-2041.00,105.356445
475,Quantum Information Science Consultant,Nanosystems Engineers,17-2199.09,105.64258
476,Quantum Information Science Consultant,Survey Researchers,19-3022.00,112.583755
477,Quantum Information Science Consultant,Forensic Science Technicians,19-4092.00,113.568886
478,Quantum Information Science Consultant,Astronomers,19-2011.00,116.54544
479,Quantum Information Science Consultant,Industrial-Organizational Psychologists,19-3032.00,116.966805
480,"Research Fellow, Quantum Computation and Simulation",Astronomers,19-2011.00,141.03043
481,"Research Fellow, Quantum Computation and Simulation",Materials Scientists,19-2032.00,143.83908
482,"Research Fellow, Quantum Computation and Simulation",Physicists,19-2012.00,154.64046
483,"Research Fellow, Quantum Computation and Simulation",Nanosystems Engineers,17-2199.09,157.29333
484,"Research Fellow, Quantum Computation and Simulation",Biostatisticians,15-2041.01,178.36835
485,"Research Fellow, Quantum Computation and Simulation","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
486,"Research Fellow, Quantum Computation and Simulation",Survey Researchers,19-3022.00,180.40343
487,"Research Fellow, Quantum Computation and Simulation",Bioinformatics Scientists,19-1029.01,181.7352
488,"Research Fellow, Quantum Computation and Simulation",Atmospheric and Space Scientists,19-2021.00,182.89883
489,"Research Fellow, Quantum Computation and Simulation",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
490,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Materials Scientists,19-2032.00,131.63992
491,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Telecommunications Engineering Specialists,15-1241.01,138.4343
492,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Web Developers,15-1254.00,139.34198
493,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Statisticians,15-2041.00,141.83833
494,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Biostatisticians,15-2041.01,142.25015
495,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,"Electronics Engineers, Except Computer",17-2072.00,145.44461
496,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Bioinformatics Scientists,19-1029.01,146.12071
497,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Astronomers,19-2011.00,146.19081
498,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Nanosystems Engineers,17-2199.09,146.41727
499,Drone Technologies- MSc/PhD Summer internship 2022 - Research Lab,Computer and Information Research Scientists,15-1221.00,147.14726
500,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Astronomers,19-2011.00,135.6895
501,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Materials Scientists,19-2032.00,139.77419
502,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Physicists,19-2012.00,149.5952
503,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Nanosystems Engineers,17-2199.09,151.36093
504,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Biostatisticians,15-2041.01,173.32698
505,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Survey Researchers,19-3022.00,174.13376
506,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,174.94315
507,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,175.51099
508,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Bioinformatics Scientists,19-1029.01,175.99716
509,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Geneticists,19-1029.03,176.48392
510,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Astronomers,19-2011.00,141.03043
511,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Materials Scientists,19-2032.00,143.83908
512,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Physicists,19-2012.00,154.64046
513,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,157.29333
514,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Biostatisticians,15-2041.01,178.36835
515,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
516,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Survey Researchers,19-3022.00,180.40343
517,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Bioinformatics Scientists,19-1029.01,181.7352
518,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Atmospheric and Space Scientists,19-2021.00,182.89883
519,"Senior Research Fellow, Quantum Optics, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
520,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Astronomers,19-2011.00,135.6895
521,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Materials Scientists,19-2032.00,139.77419
522,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Physicists,19-2012.00,149.5952
523,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Nanosystems Engineers,17-2199.09,151.36093
524,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Biostatisticians,15-2041.01,173.32698
525,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Survey Researchers,19-3022.00,174.13376
526,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,174.94315
527,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,175.51099
528,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Bioinformatics Scientists,19-1029.01,175.99716
529,"Research Assistant (Qubit architectures) , Centre for Quantum Technologies",Geneticists,19-1029.03,176.48392
530,Head of Weather and Climate Research,Remote Sensing Scientists and Technologists,19-2099.01,188.42764
531,Head of Weather and Climate Research,Industrial Ecologists,19-2041.03,189.61475
532,Head of Weather and Climate Research,Energy Auditors,47-4011.01,193.96039
533,Head of Weather and Climate Research,Physicists,19-2012.00,199.57823
534,Head of Weather and Climate Research,Astronomers,19-2011.00,199.58798
535,Head of Weather and Climate Research,Materials Scientists,19-2032.00,203.08655
536,Head of Weather and Climate Research,Forensic Science Technicians,19-4092.00,204.12454
537,Head of Weather and Climate Research,Urban and Regional Planners,19-3051.00,206.29031
538,Head of Weather and Climate Research,Web Developers,15-1254.00,206.66577
539,Head of Weather and Climate Research,Atmospheric and Space Scientists,19-2021.00,207.24193
540,Research Fellow (Multi-party Quantum Cryptography),Astronomers,19-2011.00,139.46405
541,Research Fellow (Multi-party Quantum Cryptography),Materials Scientists,19-2032.00,142.71826
542,Research Fellow (Multi-party Quantum Cryptography),Physicists,19-2012.00,152.99539
543,Research Fellow (Multi-party Quantum Cryptography),Nanosystems Engineers,17-2199.09,153.85469
544,Research Fellow (Multi-party Quantum Cryptography),Biostatisticians,15-2041.01,175.60193
545,Research Fellow (Multi-party Quantum Cryptography),Survey Researchers,19-3022.00,176.88176
546,Research Fellow (Multi-party Quantum Cryptography),Bioinformatics Scientists,19-1029.01,178.23294
547,Research Fellow (Multi-party Quantum Cryptography),"Agricultural Sciences Teachers, Postsecondary",25-1041.00,178.46532
548,Research Fellow (Multi-party Quantum Cryptography),Remote Sensing Scientists and Technologists,19-2099.01,178.94992
549,Research Fellow (Multi-party Quantum Cryptography),Atmospheric and Space Scientists,19-2021.00,179.97485
550,Quantum Engineering,Materials Scientists,19-2032.00,106.89522
551,Quantum Engineering,Astronomers,19-2011.00,108.00959
552,Quantum Engineering,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,109.13478
553,Quantum Engineering,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,113.7726
554,Quantum Engineering,"Psychology Teachers, Postsecondary",25-1066.00,114.88214
555,Quantum Engineering,"Health Specialties Teachers, Postsecondary",25-1071.00,118.46538
556,Quantum Engineering,"Social Work Teachers, Postsecondary",25-1113.00,118.611404
557,Quantum Engineering,"Environmental Science Teachers, Postsecondary",25-1053.00,120.5405
558,Quantum Engineering,"Geography Teachers, Postsecondary",25-1064.00,120.930954
559,Quantum Engineering,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,120.94565
560,Hybrid Cloud Research Student- Research Lab,Materials Scientists,19-2032.00,121.98184
561,Hybrid Cloud Research Student- Research Lab,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,132.08392
562,Hybrid Cloud Research Student- Research Lab,Web Developers,15-1254.00,134.53668
563,Hybrid Cloud Research Student- Research Lab,"Computer Science Teachers, Postsecondary",25-1021.00,135.8616
564,Hybrid Cloud Research Student- Research Lab,"Psychology Teachers, Postsecondary",25-1066.00,135.9097
565,Hybrid Cloud Research Student- Research Lab,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,136.0072
566,Hybrid Cloud Research Student- Research Lab,Computer and Information Research Scientists,15-1221.00,136.30284
567,Hybrid Cloud Research Student- Research Lab,Telecommunications Engineering Specialists,15-1241.01,136.41394
568,Hybrid Cloud Research Student- Research Lab,Astronomers,19-2011.00,136.5039
569,Hybrid Cloud Research Student- Research Lab,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,136.86884
570,Postdoctoral Associate,Astronomers,19-2011.00,100.61971
571,Postdoctoral Associate,Physicists,19-2012.00,101.8994
572,Postdoctoral Associate,Materials Scientists,19-2032.00,114.00014
573,Postdoctoral Associate,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,128.04532
574,Postdoctoral Associate,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,134.7797
575,Postdoctoral Associate,"Computer Science Teachers, Postsecondary",25-1021.00,140.24988
576,Postdoctoral Associate,"Geography Teachers, Postsecondary",25-1064.00,140.67166
577,Postdoctoral Associate,"Engineering Teachers, Postsecondary",25-1032.00,141.95503
578,Postdoctoral Associate,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,142.11078
579,Postdoctoral Associate,Biostatisticians,15-2041.01,142.34967
580,Research Fellow (Multi-party Quantum Cryptography),Astronomers,19-2011.00,139.46405
581,Research Fellow (Multi-party Quantum Cryptography),Materials Scientists,19-2032.00,142.71826
582,Research Fellow (Multi-party Quantum Cryptography),Physicists,19-2012.00,152.99539
583,Research Fellow (Multi-party Quantum Cryptography),Nanosystems Engineers,17-2199.09,153.85469
584,Research Fellow (Multi-party Quantum Cryptography),Biostatisticians,15-2041.01,175.60193
585,Research Fellow (Multi-party Quantum Cryptography),Survey Researchers,19-3022.00,176.88176
