,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
575,576,20210320,independent quantum computing company,,company,cambridge quantum computing,O,senior software engineer,A,GB
576,577,20220209,a quantum computing hardware and software company,,company,oxford quantum circuits,O,head of people,A,GB
577,578,20220504,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,higher research scientist - scanning probe microscopy for quantum circuits,A,GB
578,579,20210213,telecommunications company,,company,nu quantum,O,scientist - nanofabrication r&d,A,GB
579,580,20220129,,,university,leibniz universitat hanover,U,junior research group leader,A,DE
580,581,20210702,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,electronics design engineer,A,GB
581,582,20201109,independent quantum computing company,,company,cambridge quantum computing,O,software architect,A,GB
582,583,20220426,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc - cryogenic cmos for quantum computing applications,P,DE
583,584,20220217,aims to make the technology of quantum computing accessible to users in research and industry,,,qar-lab – quantum applications and research laboratory,O,projektmanager (m/w/d) im bereich quantum computing,A,DE
584,585,20220107,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,head of people & culture,A,GB
585,586,20220902,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis - engineering josephson junction tunnel barriers for future superconducting qubits,A,DE
586,587,20220208,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,superconducting qubit physicist,A,GB
587,588,20220309,symmetric encryption reborn for the cloud,category other,,arqit limited,O,people operations lead,A,GB
588,589,20220823,,,university,university of southampton,U,research fellow in macroscopic quantum physics,A,GB
589,590,20221021,,,university,technische universitt dortmund,U,professorship (w1) theoretical solid-state physics,F,DE
590,591,20220831,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,higher research scientist - microtraps,A,GB
591,592,20211008,,,,defence science and technology laboratory,O,stem graduate,A,GB
592,593,20220713,,,university,durham university,U,research software engineer,A,GB
593,594,20201109,independent quantum computing company,,company,cambridge quantum computing,O,software quality assurance specialist,A,GB
594,595,20210326,,Service Provider,,helmholtz-zentrum dresden-rossendorf,O,postdoctoral researcher (f/m/d) data-driven framework for multiscale simulations,P,DE
595,596,20211220,,,university,university of glasgow,U,research associate,A,GB
596,597,20220120,an award-winning photonics technology spin-out from the University of Oxford,,,quantum dice,O,photonics engineer pic design,A,GB
597,598,20220305,a leading provider of high technology tools and systems for research and industry,,company,oxford instrumentsi plc,O,territory sales manager dach region,A,DE
598,599,20210331,,Service Provider,,bosch group,O,research scientist quantum sensors,A,DE
599,600,20210508,,Service Provider,,bosch group,O,research scientist neuroscience for brain machine interface,A,DE
600,601,20220828,,,university,imperial college london,U,research associate: laser cooling polar molecules,A,GB
601,602,20211003,,,university,university of york,U,research associate,A,GB
602,603,20220704,an exempt charity and a common law corporation,,university,university of cambridge,U,research associate in quantum optics in solids x 2 (fixed term),A,GB
603,604,20221020,German public IT services provider,category other,,bwi gmbh,O,lead innovation expert (m/w/d),A,DE
604,605,20210811,"an educational
institute",,university,dresden university of technology,U,research associate / postdoc,P,DE
605,606,20211219,the largest research institute in the world specializing in general relativity and beyond,,,max planck institute for gravitational physics,O,phd position | rethinking quantum field theory,A,DE
606,607,20210227,,,,uk research & innovation (ukri),O,deputy director of operations - nqcc,A,GB
607,608,20220719,,,university,universitat hamburg,U,research associate for the project cluster of excellence cui: advanced imaging of matter- project quantum simulation of topological many-body systems,A,DE
608,609,20220816,,,university,durham university,U,postdoctoral research associate in quantum light and matter,P,GB
609,610,20220830,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc - cryogenic cmos for quantum computing applications,P,DE
610,611,20210909,public research university,,university,university of nottingham,U,research associate/fellow (fixed term),A,GB
611,612,20210927,public research university,,university,friedrich-schiller-universitt jena,U,technical employee in the quantum hub thringen,A,DE
612,613,20210811,product development company,,company,cambridge consultants ltd,O,quantum algorithm developer,A,GB
613,614,20210716,,Service Provider,,ic resources,O,asic design engineer,A,GB
614,615,20221020,,,university,carl von ossietzky universitt oldenburg,U,"scientific assistant/ researcher (m/f/d), e13",A,DE
615,616,20210426,major Japanese manufacturer of computers and electronic devices for consumers and industry,,company,toshiba,O,research project manager,A,GB
616,617,20211023,,,university,university of cologne,U,postdoc position (f/m/d),P,DE
617,618,20210513,,,university,university of york,U,lecturer,F,GB
618,619,20220227,red brick Russell Group research university,,university,university of bristol,U,lecturer in quantum engineering technologies,F,GB
619,620,20210505,,,university,university of southampton,U,"phd studentship, quantum, light and matter group",A,GB
620,621,20220826,"an application-oriented research institute in the fields of high-frequency electronics, photonics and quantum physics",,,"ferdinand braun institute, leibniz institute for high frequency technology (fbh)",O,scientific member of staff / (m/f/d) development and micro-integration of micromechanical-optical setups for atom-based quantum sensors - 36/22,A,DE
621,622,20220211,,,,riverlane,O,hardware verification engineer,A,GB
622,623,20220902,,,,quantum brilliance,O,executive assistant to the gm,A,DE
623,624,20211108,,,university,university of edinburgh,U,senior research programmer,A,GB
624,625,20211026,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc- optimal control and ml optimization of open-system solid state qubits,P,DE
625,626,20220212,a quantum computing hardware and software company,,company,oxford quantum circuits,O,hr assistant,A,GB
626,627,20210720,a cutting edge technology company,,company,quantum detectors,O,design engineer,A,GB
627,628,20210501,,,,uk research & innovation (ukri),O,superconducting hardware technology development manager,A,GB
628,629,20220219,,,university,technical university of munich (tum),U,"full-time research assistant (m/f/d): compiler, runtime-environments and algorithms for superconducting qubits-based digital quantum computers",A,DE
629,630,20210628,a global hospitality company,,company,the one group,O,detector scientist,A,GB
630,631,20220615,"an educational
institute",,university,dresden university of technology,U,chair (w2) of high-field terahertz physics combined with the position of a head of department at the hzdr,A,DE
631,632,20221118,,Manufacturer/ Producer,,physikalisch-technische bundesanstalt (ptb),O,doctoral candidate or postdoc in the field of quantum sensor systems for medical purposes,P,DE
632,633,20220608,independent quantum computing company,,company,cambridge quantum computing,O,"ciq:22 general interest in quantinuum, bristol university",A,GB
633,634,20210717,,,university,university of edinburgh,U,research associate,A,GB
634,635,20220222,,,university,universitat hamburg,U,research associate for the project cluster of excellence cui: advanced imaging of matter- quantum optical technology and entanglement control in the x-ray regime,A,DE
635,636,20220409,independent quantum computing company,,company,cambridge quantum computing,O,senior scientific software engineer - quantum software,A,GB
636,637,20201115,a UK company developing a completely new approach towards quantum computing,,company,orca computing,O,quantum theorist / architect,A,GB
637,638,20220510,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis for scalasca performance analysis group,A,DE
638,639,20220810,the world's leading applied research organisation,,,fraunhofer-gesellschaft (fraunhofer society),O,speculative application for the department opto-mechatronical components and systems (iof-2022-56),A,DE
639,640,20210410,technology company,,company,microsoft,O,structural characterization engineer,A,DK
640,641,20210626,,,university,technical university of munich (tum),U,"phd students and postdocs: design automation and software for quantum computing, microfluidics, or conventional circuits and systems",P,DE
641,642,20210308,a technology company,,company,ibm,O,research software engineer - delivering client impact,A,GB
642,643,20220622,symmetric encryption reborn for the cloud,category other,,arqit limited,O,facilities manager,A,GB
643,644,20211208,,,university,the university of manchester,U,research associate in atomic resolution scanning transmission electron microscopy and atom manipulation,A,GB
644,645,20220328,a research institute of the Max Planck Society,,,max planck institute for chemical physics of solids,O,phd position (m/f/d) in quantum material physics,A,DE
645,646,20220210,,,,t-systems international gmbh,O,quantum computing solutions engineer (m/f/d),A,DE
646,647,20220728,,,university,technical university of munich (tum),U,student assistant for outreach activities as part of the munich quantum valley (m/f/d),I,DE
647,648,20220124,,,university,carl von ossietzky universitt oldenburg,U,"postdoc-position in animal behavior (m,f,d);e13",P,DE
648,649,20220720,,Service Provider,,ic resources,O,compiler engineer,A,GB
649,650,20210310,information technology company,,company,e.on digital technology gmbh,O,working student (m/f/d) - quantum computing,A,DE
650,651,20220802,,,university,heriot watt university,U,research associate in connectorising integrated quantum photonics devices,A,GB
651,652,20210508,independent quantum computing company,,company,cambridge quantum computing,O,senior sales executive - cybersecurity - uk. travel to offices in london and cambridge as required (remote working in uk).,A,GB
652,653,20220216,,,university,universitat paderborn,U,institute for photonic quantum systems (phoqs),A,DE
653,654,20220110,,,university,universitat hamburg,U,research associate for the project cluster of excellence quantum universe categorification in quantum topology,A,DE
654,655,20210721,,,,evi technologies limited,O,senior quantum research scientist,A,GB
655,656,20210419,,,university,university of southampton,U,research fellow in coherent diffraction imaging,A,GB
656,657,20220129,,,university,technical university of munich (tum),U,phd student position: materials and interfaces of superconducting qubit devices,A,DE
657,658,20211222,,Manufacturer/ Producer,company,atos,O,it consultant - quantum computing (m/w/d),A,DE
658,659,20220407,one of the world's leading producers of software for the management of business processes,,company,sap,O,(senior) developer (f/m/d) for applied research on quantum optimization,A,DE
659,660,20221027,an international pioneer in the aerospace industry,category other,,airbus,O,internship in the field of quantum computing in operational analysis (d/m/f),I,DE
660,661,20211114,a world leader in the manufacture of magnetic shielding technology,,company,magnetic shields ltd.,O,senior electronics engineer,A,GB
661,662,20210508,,,university,universitat hamburg,U,research associate for the project cluster of excellence cui: advanced imaging of matter- rydberg quantum lattices,A,DE
662,663,20220701,,,university,king's college london,U,research associate,A,GB
663,664,20210909,public research university,,university,university of warwick,U,research fellow,A,GB
664,665,20210418,a quantum computing hardware and software company,,company,oxford quantum circuits,O,assistant,A,GB
665,666,20220608,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,head of quantum technologies - nqcc,A,GB
666,667,20220510,cybersecurity company,,company,pqshield,O,cryptography architect,A,GB
667,668,20211223,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,hardware engineer,A,GB
668,669,20220711,a cutting edge technology company,,company,quantum detectors,O,finance manager,A,GB
669,670,20211108,an exempt charity and a common law corporation,,university,university of cambridge,U,research associates in theoretical physics (fixed term),A,GB
670,671,20220615,,,university,technical university of munich (tum),U,project manager (m/f/d) munich quantum valley,A,DE
671,672,20210929,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,postdoctoral research associate - experimental condensed matter physics,P,GB
672,673,20221028,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,research software engineer / quantum cloud engineer for the juniq cloud platform,A,DE
673,674,20220426,,,university,university of oxford,U,postdoctoral research assistant in thermodynamics at the nanoscale,P,GB
674,675,20211002,,,university,university of glasgow,U,research associate,A,GB
675,676,20221110,"an educational
institute",,university,dresden university of technology,U,scientific employee (m/f/d),A,DE
676,677,20220118,a quantum computing hardware and software company,,company,oxford quantum circuits,O,recruitment assistant,A,GB
677,678,20220112,American tech multinational,Service Provider,company,amazon,O,"sr. consultant, quantum and optimization solutions",A,DE
678,679,20210702,international state-of-the-art competence center for science & technology as well as service & transfer for innovations in and by crystalline materials,,,leibniz institute for crystal growth (ikz),O,phd student position (m/f/d) - kz 22,A,DE
679,680,20220902,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,senior embedded software engineer,A,DE
680,681,20210904,British luxury automobile maker,category other,,rolls-royce,O,quantum computationsal science specialist,A,GB
681,682,20210814,"electronic capital goods for industry, infrastructure operators and government customers",Service Provider,,rohde & schwarz gmbh & co. kg,O,forschung & entwicklung quantum computing security (m/w/d),A,DE
682,683,20210324,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,quanteningenieur/in,A,DE
683,684,20220812,"the world's leading manufacturer of premium automobiles and motorcycles, and provider of premium financial and mobility services",,company,bmw group,O,master's student in the field of quantum computing benchmark framework for machine learning (f/m/x),I,DE
684,685,20220511,a fast-growing consultancy focused on solving problems with Data Science and the right organizational frameworks as their backbone,Agent/ Representative,,machine learning reply,O,senior quantum computing developer (m/f/d),A,DE
685,686,20210402,"a German educational
institution focused on research, teaching, and innovation",,,karlsruhe institute of technology (kit),O,research associate (f/m/d),A,DE
686,687,20210322,,,university,university of edinburgh,U,research associate,A,GB
687,688,01/11/2022,Developer of quantum computing technologies,,,oxford ionics,O,quantum architect (remote or on-site),A,GB
688,689,20220810,the world's leading applied research organisation,,,fraunhofer-gesellschaft (fraunhofer society),O,researcher in quantum cryptography (iof-2022-27),A,DE
689,690,20220119,a global financial services provider,Service Provider,,standard chartered,O,quantum computing specialist,A,GB
690,691,20220623,independent quantum computing company,,company,cambridge quantum computing,O,senior quantum optics/photonics engineer,A,GB
691,692,20221207,,,university,technical university of munich (tum),U,the institute for communications engineering offers a position for a doctoral or young postdoctoral candidate with the topic communication and coding in quantum networks (tv-l e13) (f/m/x),P,DE
692,693,20210501,,Service Provider,,bosch group,O,research scientist quantum sensors,A,DE
693,694,20220609,IoT security company,,company,angoka,O,assistant business development assistant to chairman,A,GB
694,695,20220714,,,university,imperial college london,U,research assistant / associate in quantum algorithms for the simulation of turbulent flows,A,GB
695,696,20220810,,Service Provider,,ic resources,O,devops engineer,A,GB
696,697,20220401,,,,evi technologies limited,O,"sr technical product manager-external services, quantum technologies",A,GB
697,698,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,systems integration engineer,A,GB
698,699,20211003,,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,quantum technology standards manager,A,GB
699,700,20220421,public research university,,university,friedrich-schiller-universitt jena,U,research associate (m/f/d) at the quantum hub thringen,A,DE
700,701,20211016,,,,fraunhofer-institut fr angewandte optik und feinmechanik,O,photonics engineer for quantum computing,A,DE
701,702,20220830,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc in the domain of coherent spin shuttling for scaling semiconductor qubits,P,DE
702,703,20220129,,,university,the university of manchester,U,chair in quantum science or quantum engineering,A,GB
703,704,20211023,test and measurement company,,company,zurich instruments,O,application scientist quantum technologies,A,DE
704,705,20210618,an exempt charity and a common law corporation,,university,university of cambridge,U,research assistant/associate in quantum dot display technology (fixed term),A,GB
705,706,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,phd candidtate for quantum computing in multi-scale simulations (m/f/x),A,DE
706,707,20220402,,,university,university of oxford,U,postdoctoral research assistant in superconducting quantum circuits,P,GB
707,708,20220815,cloud infrastructure company for quantum computing,,company,quantum machines,O,international sales manager,A,DK
708,709,20220801,a technology company,,company,ibm,O,"research software engineer, accelerated discovery",A,GB
709,710,20220804,a research organization,category other,,rand,O,quantitative research analyst - science and emerging technologies,A,GB
710,711,20210622,a world-class manufacturer of high-quality solid-state and ultrafast laser sources,,company,laser quantum,O,development engineer (software & firmware),A,GB
711,712,20210312,quantum computing hardware company,,company,iqm,O,"business development manager (m/f/d) - (munich, germany), (espoo, finland)",A,DE
712,713,20211030,,,university,university of southampton,U,"research fellow, photonic systems circuits and sensors group",A,GB
713,714,20220610,,,university,carl von ossietzky universitt oldenburg,U,"research associate (m/f/d), e13",A,DE
714,715,20220112,cloud infrastructure company for quantum computing,,company,quantum machines,O,scientific business development manager (emea),A,DE
715,716,20210306,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,"theoretical physics, quantum physics",A,DE
716,717,20220101,a quantum computing hardware and software company,,company,oxford quantum circuits,O,business development lead,A,GB
717,718,20210615,symmetric encryption reborn for the cloud,category other,,arqit limited,O,security architect,A,GB
718,719,20220824,public research university,,university,university college london,U,research fellow in quantum simulation and quantum machine learning,A,GB
719,720,20210508,,,university,university of york,U,research associate,A,GB
720,721,20220110,an award-winning photonics technology spin-out from the University of Oxford,,,quantum dice,O,cryptographer,A,GB
721,722,20210731,,,university,heriot watt university,U,research associate in satellite quantum photonics,A,GB
722,723,20220130,,,university,university of glasgow,U,"research associate/fellow, quest programme grant co-ordinator",A,GB
723,724,20210310,a technology company,,company,ibm,O,quantum qiskit core developer - qiskit runtime,A,GB
724,725,20220719,,Service Provider,,ic resources,O,quantum engineer,A,GB
725,726,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,devops engineer,A,GB
726,727,20210313,symmetric encryption reborn for the cloud,category other,,arqit limited,O,software engineer,A,GB
727,728,20210805,symmetric encryption reborn for the cloud,category other,,arqit limited,O,senior software engineer - satellite software,A,GB
728,729,20220308,develops sensor solutions for defence and security applications,,,hensoldt cyber gmbh,O,cryptography expert - software (w/m/d),A,DE
729,730,20210821,Developer of quantum computing technologies,,,oxford ionics,O,head of partnerships,A,GB
730,731,20210527,develops and manufactures high-end laser systems for scientific and industrial applications,,company,toptica photonics,O,development engineer * optics for laser systems,A,DE
731,732,20210519,telecommunications company,,company,nu quantum,O,detector scientist,A,GB
732,733,20220124,multinational company,,company,merck kgaa darmstadt germany,O,quantum computing scientist (all genders) (full- / part-time),A,DE
733,734,20220504,,Service Provider,,ic resources,O,senior firmware engineer,A,GB
734,735,20220422,develops and manufactures high-end laser systems for scientific and industrial applications,,company,toptica photonics,O,physicist / development engineer ultra-narrowband laser systems,A,DE
735,736,20220511,cybersecurity company,,company,pqshield,O,software security engineer,A,GB
736,737,20211124,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,systemadministrator (m/w/d),A,DE
737,738,20220714,independent quantum computing company,,company,cambridge quantum computing,O,senior backend engineer,A,GB
738,739,20220312,symmetric encryption reborn for the cloud,category other,,arqit limited,O,experienced software engineers,A,GB
739,740,20210626,independent quantum computing company,,company,cambridge quantum computing,O,quantum data scientist (project implementation),A,GB
740,741,20201115,a UK company developing a completely new approach towards quantum computing,,company,orca computing,O,quantum programme manager,A,GB
741,742,20220706,,,,t-systems international gmbh,O,senior product manager quantum computing (m/f/d),A,DE
742,743,20211217,independent quantum computing company,,company,cambridge quantum computing,O,scientific software developer - quantum software,A,GB
743,744,20220621,major Japanese manufacturer of computers and electronic devices for consumers and industry,,company,toshiba,O,industrial case phd studentship in next generation quantum communication systems,A,GB
744,745,20220826,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,research associate for quantum machine learning and quantum computing,A,DE
745,746,20210217,,,,spinup ai,O,algorithmic trading quant - quantum computing start up,A,GB
746,747,20210423,,,university,universitat hamburg,U,research associate for the project &quot;cluster of excellence cui: advanced imaging of matter-emergent 2d quantum phases in atomically crafted spin lattices&quot;,A,DE
747,748,20220901,a cutting edge technology company,,company,quantum detectors,O,warehouse assistant,A,GB
748,749,20211026,a technology company,,company,ibm,O,development engineer processor logic designer (m / f / x),A,DE
749,750,20210828,,,university,lancaster university,U,lecturer in physics (condensed matter theory),F,GB
750,751,20210724,,,university,imperial college london,U,research assistant / research associate,A,GB
751,752,20220820,,Service Provider,,ic resources,O,senior c++ software engineer,A,GB
752,753,20220112,,,university,technical university of munich (tum),U,scientific researcher for architecture and hardware design (m/f/d),A,DE
753,754,20211202,,,university,university of southampton,U,research fellow in quantum photonics,A,GB
754,755,20220428,cybersecurity company,,company,pqshield,O,senior account executive - europe,A,GB
755,756,20220311,,category other,,siemens energy,O,senior contract manager (f/m/d) project execution/ senior delay and quantum expert,A,DE
756,757,20221125,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,innovation scientist* quantum communication / systems engineering / photonic networks,A,DE
757,758,20220113,a large public university,,university,saarland university,U,academic research assistant (m/f/x),A,DE
758,759,20210924,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,programme manager,A,GB
759,760,20220716,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,phd student on the topic: quantum security ip,A,DE
760,761,20220322,a leading-edge photonics company,,company,uniklasers,O,optical r&d engineer,A,GB
761,762,20211217,your experienced partner concerning the search and selection of excellent technical and high-level personnel in the expanding High-Tech world,,,beratungsgruppe wirth + partner,O,developer/engineer in laser technology - qubig gmbh,A,DE
762,763,20211001,a quantum computing hardware and software company,,company,oxford quantum circuits,O,quantum engineer,A,GB
763,764,20220327,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,recruitment admin assistant,A,GB
764,765,20220425,symmetric encryption reborn for the cloud,,company,arqit limited,O,product marketing director,A,GB
765,766,20220424,a quantum computing hardware and software company,,company,oxford quantum circuits,O,partnerships lead,A,GB
766,767,20210906,red brick Russell Group research university,,university,university of bristol,U,business pre-incubation manager,A,GB
767,768,20210917,,category other,,cambridge quantum computing,O,qnlp product evangelist,A,GB
768,769,20211014,,,,fraunhofer-institut fr angewandte festkrperphysik,O,scientist in quantum computing,A,DE
769,770,20211012,multinational technology company,,company,intel,O,pqc cryptographer,A,GB
770,771,20211222,symmetric encryption reborn for the cloud,category other,,arqit limited,O,devops engineer,A,GB
771,772,20220113,public research university,,university,university of sussex,U,senior project manager (ion quantum technology group),A,GB
772,773,20210708,a cutting edge technology company,,company,quantum detectors,O,technical buyer,A,GB
773,774,20211211,,,university,university of oxford,U,"technology associate, qcs hub",A,GB
774,775,20220726,,,university,technical university of munich (tum),U,student assistants (m/f/d) to support the development of the quantum social lab,I,DE
775,776,20211219,,,,kets quantum security ltd,O,senior / asic engineer,A,GB
776,777,20210513,,,university,leibniz universitat hanover,U,junior research group leader in cloud-based quantum technologies,A,DE
777,778,20220126,a technology company,,company,ibm,O,internship: quantum control electronic firmware developer (m/w/x),I,DE
778,779,20220125,,,university,university of southampton,U,"phd studentship, zepler institute for photonics and nanoelectronics",A,GB
779,780,20220104,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position cryogenic digital-to-analog converter design in cmos for quantum computing applications,A,DE
780,781,20220223,,,university,university of dundee,U,quantum mechanics specialist,A,GB
781,782,20211013,,,university,technical university of munich (tum),U,3 phd positions (m/f/d),A,DE
782,783,20220129,,,university,leibniz universitat hanover,U,postdoctoral researcher (m/f/d) – glass-based waveguide circuits for quantum enhanced sensing,A,DE
783,784,20220529,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,simulation developer | c++ (m/w/d),A,DE
784,785,20220312,independent quantum computing company,,company,cambridge quantum computing,O,senior software developer for munich,A,DE
785,786,20221021,an international pioneer in the aerospace industry,category other,,airbus,O,optical instruments systems engineer (d/f/m),A,DE
786,787,20220311,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,deputy director of research,A,GB
787,788,20211216,a forefront research organizations in the fields of quantum physics and photonics,,,max planck institute of quantum optics (mpq),O,phd positions (m / f / d),A,DE
788,789,20211206,"a trusted global innovator
of IT and business services",,company,ntt data deutschland,O,teamlead (m/w/d),A,DE
789,790,20220519,"a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services",,company,deloitte,O,(senior) consultant - technology strategy & transformation - banking (m/w/d),A,DE
790,791,20210717,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,front-end developer for cloud-based quantum control system,A,DE
791,792,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,ab-initio simulation specialist (bulk materials) (m/f/x),A,DE
792,793,20220306,,Service Provider,,ic resources,O,photonics engineer,A,GB
793,794,20211219,executive non-departmental public body,Service Provider,,awe (united kingdom),O,material models development physicist,A,GB
794,795,20210225,,,,"leibniz supercomputing centre (leibniz-rechenzentrum, lrz)",O,quantum computing software engineer (f/m/d),A,DE
795,796,20210626,German public IT services provider,category other,,bwi gmbh,O,experte quanten computer technologie (m/w/d),A,DE
796,797,20220620,,,university,university of oxford,U,postdoctoral research assistant in condensed matter physics,P,GB
797,798,20220828,,,university,imperial college london,U,research associate: atom interferometry,A,GB
798,799,20210930,weltweit führende anwendungsorientierte Forschungseinrichtung für mikroelektronische und informationstechnische Systemlösungen und Dienstleistungen,,,fraunhofer-institut fr integrierte schaltungen,O,technical project manager in scalable electronics for quantum technologies,A,DE
799,800,20211219,,,university,university of leeds,U,research fellow in injection-locked terahertz quantum cascade lasers,A,GB
800,801,20220104,the largest research institute in the world specializing in general relativity and beyond,,,max planck institute for gravitational physics,O,phd student positions | laser and squeezed light,A,DE
801,802,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,electronics engineer,A,GB
802,803,20220826,,,university,universitat bielefeld,U,research,A,DE
803,804,20220819,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,quantum applications team lead,A,GB
804,805,20220322,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,research associate (m/f/d) quantum computingthesis on the topic: demonstrator development for quantum imaging,A,DE
805,806,20220118,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,quantum computing summer internship scheme (for msc & phd students),I,GB
806,807,20211227,develops and manufactures cutting-edge Light Modulators for scientific and industrial applications,,company,qubig gmbh,O,developer / engineer for laser technology / technology (m / f / x),A,DE
807,808,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,technician,A,GB
808,809,20211220,,,university,university of glasgow,U,research assistant,A,GB
809,810,20210424,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,energy storage simulations with quantum computers,A,DE
810,811,20210306,,,university,heriot watt university,U,research associate in theoretical chemistry,A,GB
811,812,20220715,research university,,university,berlin institute of technology (technische universitat berlin),U,wiss. mitarbeiter*in (postdoc) (d/m/w),P,DE
812,813,20210823,,,university,technical university of munich (tum),U,the institute for communications engineering is currently offering a position for a doctoral candidate or young postdoctoral candidate,P,DE
813,814,20211222,public research university,,university,university of sussex,U,research fellow in quantum technology,A,GB
814,815,20220311,,category other,,siemens energy,O,contract manager (f/m/d) project execution/ delay and quantum expert,A,DE
815,816,20211217,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,photon sources for optical quantum computing,A,DE
816,817,20211115,symmetric encryption reborn for the cloud,category other,,arqit limited,O,software engineering manager,A,GB
817,818,20211121,,,university,technical university of munich (tum),U,full-time research assistant (m/f/d): programming and simulation of digital quantum computers,A,DE
818,819,20211006,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis: design of digitally enhanced power management circuits for future quantum computers,A,DE
819,820,20221001,,,,psiquantum,O,experimental systems engineer,A,GB
820,821,20211005,,,university,the university of manchester,U,research associate in atomic physics,A,GB
821,822,20211124,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,cloud entwickler (m/w/d),A,DE
822,823,20220121,banking and financial services organisations,Service Provider,,hsbc,O,quantum computing research scientist,A,GB
823,824,20220614,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,system architect (diamond quantum computers),A,DE
824,825,20220905,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,cryogenic sample environment industrial placement,A,GB
825,826,20220124,,,university,university of oxford,U,postdoctoral research assistant in ultra-low temperature physics,P,GB
826,827,20220930,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,speculative application in the field of imaging and sensing (iof-2022-53),A,DE
827,828,20210820,,,university,university of bath,U,research associate in photonics and photonic materials (fixed-term post),P,GB
828,829,20211120,quantum computing hardware company,,company,iqm,O,quantum physics engineer,A,DE
829,830,20220222,,,university,university of leeds,U,research fellow in quantum spin hall spintronics,A,GB
830,831,20220417,symmetric encryption reborn for the cloud,category other,,arqit limited,O,requirements manager,A,GB
831,832,20210322,,category other,,m squared lasers limited,O,quantum technology scientist,A,GB
832,833,20220805,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,engineer for magnetic and cryogenic metrology and analytics,A,DE
833,834,20210529,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,electronics design engineer,A,GB
834,835,20211027,symmetric encryption reborn for the cloud,category other,,arqit limited,O,software qa/automation/sdet engineers all levels,A,GB
