,Title,Organisation ID,Organisation Name,Organisation Profile,Posted By - Name,Posted By - Profile,Short description,Location,Remote work allowed,Benefits,Workplace type,Description,Seniority level,Under 10 applications,Job functions,Date posted,Date expires,Industry,Source domain,Easy apply,Job type,Industry.1,Link,key,real_link,title,location,company,position,type,description
0,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Saxony, Germany",,,Remote,,,,,2022-09-27 14:15:17,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288244968,de.linkedin.com,https://de.linkedin.com/jobs/account-manager-stellen?trk=expired_jd_redirect&position=1&pageNum=0,,,,,,
1,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Hamburg, Hamburg, Germany",,,Remote,,,,,2022-09-27 14:16:13,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288247712,de.linkedin.com,https://de.linkedin.com/jobs/account-manager-stellen?trk=expired_jd_redirect&position=1&pageNum=0,,,,,,
2,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Hesse, Germany",,,Remote,,,,,2022-09-27 14:16:10,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288245843,de.linkedin.com,https://de.linkedin.com/jobs/account-manager-stellen?trk=expired_jd_redirect&position=1&pageNum=0,,,,,,
3,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Neustadt-Glewe, Mecklenburg-West Pomerania, Germany",,,Remote,,,,,2022-09-27 14:15:49,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288250567,www.linkedin.com,https://www.linkedin.com/jobs/view/3288250567,,,,,,
4,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Brandenburg, Germany",,,Remote,,,,,2022-09-27 14:16:24,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288249589,www.linkedin.com,https://www.linkedin.com/jobs/view/3288249589,,,,,,
5,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Bremen, Bremen, Germany",,,Remote,,,,,2022-09-27 14:15:53,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288251497,www.linkedin.com,https://www.linkedin.com/jobs/view/3288251497,,,,,,
6,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Schleswig-Holstein, Germany",,,Remote,,,,,2022-09-27 14:15:21,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288244967,www.linkedin.com,https://www.linkedin.com/jobs/view/3288244967,,,,,,
7,Community Coordinator Thematic Digital Competence Centre Natural and Engineering Sciences,b3JnOjI5ODY1NA==,Delft University of Technology,,,,-,"Delft, South Holland, Netherlands",,,On-site,,,,,2022-09-22 14:02:01,2022-10-05 14:13:43,,www.tudelft.nl,NO,,,https://www.linkedin.com/jobs/view/3283488475,www.linkedin.com,https://www.linkedin.com/jobs/view/3283488475,,,,,,
8,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"North Rhine-Westphalia, Germany",,,Remote,,,,,2022-09-27 14:15:45,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288249587,www.linkedin.com,https://www.linkedin.com/jobs/view/3288249587,,,,,,
9,Account Management - Education K12 - Public Sector,b3JnOjEzNzI2NTcx,Microsoft,,,,-,"Bavaria, Germany",,,Remote,,,,,2022-09-27 14:16:08,2022-10-05 14:13:43,,careers.microsoft.com,NO,,,https://www.linkedin.com/jobs/view/3288245842,www.linkedin.com,https://www.linkedin.com/jobs/view/3288245842,,,,,,
10,"Regional Sales Manager, France",b3JnOjg3MjE1,Quantum,,,,-,"Colombes, Île-de-France, France",,,Hybrid,,,,,2022-09-17 10:35:31,2022-10-05 14:13:43,,recruiting2.ultipro.com,NO,,,https://www.linkedin.com/jobs/view/3133044835,www.linkedin.com,https://www.linkedin.com/jobs/view/3133044835,"Regional Sales Manager, France",Colombes,Quantum,,Temps plein,"Whether it's unlocking the potential of digital content, powering breakthrough innovations, creating entertainment that enriches lives, or keeping nations secure, Quantum works with customers and partners to make the world a happier, safer, and smarter place.
How will you make an impact?
In your role as Regional Sales Manager (m/f/d) you will be responsible for leading the strategy and execution to drive opportunities and solutions for our customers. You will be in charge for end user sales working with our reseller channel, distribution partners and alliances across Quantum offerings to new and existing customers.
As part of our success-driven sales team, you will work independently, enjoy building strong customer relationships quickly and have a strong understanding of our customers' business. In addition, you are proficient in fostering effective internal relationships with engineering, service, marketing, operations, etc., to regularly exceed our customers' expectations.




We are on an exciting journey and invite you to shape the path with us! Are you as excited about the future of our company as we are? Then upload your CV and let's have a conversation to find out if and how we can grow together. We would love to hear from you!"
11,Training Developer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"Miami, FL",,,On-site,,,,,2022-09-22 17:34:56,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3283831294,www.linkedin.com,https://www.linkedin.com/jobs/view/3283831294,,,,,,
12,Training Developer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"Boca Raton, FL",,,On-site,,,,,2022-09-22 17:34:56,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3283833325,www.linkedin.com,https://www.linkedin.com/jobs/training-developer-jobs?trk=expired_jd_redirect,,,,,,
13,Training Developer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"West Palm Beach, FL",,,On-site,,,,,2022-09-22 17:34:56,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3283828776,www.linkedin.com,https://www.linkedin.com/jobs/view/3283828776,,,,,,
14,Research and Development Coordinator,b3JnOjU4NjUzNDA=,Quantum ePay,,,,-,"Anaheim, CA",,,,,,,,2022-09-07 00:00:00,2022-10-05 14:13:43,,quantumelectronicpayments.isolvedhire.com,NO,,,https://www.linkedin.com/jobs/view/3259698095,www.linkedin.com,https://www.linkedin.com/jobs/view/3259698095,,,,,,
15,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies #Urgent",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-04 14:46:12,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3294471585,www.linkedin.com,https://www.linkedin.com/jobs/view/3294471585,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies #Urgent","Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About The Job

About Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at www.quantumlah.org.


Our group has developed an optical atomic clock based on Lu+. Lutetium is a unique clock candidate in that it supports three clock transitions within the one atom enabling rigorous consistency checks on clock performance. We have shown that two of these transitions have very low systematic shifts making them competitive with the best systems in the world. In 2019 we demonstrated the feasibility of operating the clock with multiple ions which will enable improvements in measurement precision. More recently we demonstrated agreement between two clocks at the level of 10-18, which was limited by the measurement statistics and not systematic uncertainty. To further advance clock performance and develop local expertise in optical clocks, we now looking to establish in-house capabilities in the design and implementation of ultra-stable optical resonators.





The remuneration is competitive and depends on the expertise and skill set.


For enquiries and details about the position, please contact Murray Douglas at. Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

We regret that only shortlisted candidates will be notified.


Doctorate (PhD)

Qualification

Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)"
16,Junior Research Assistant,b3JnOjY4MTgx,Caltech,,,,-,"Pasadena, CA",,,On-site,,,,,2022-09-30 05:35:10,2022-10-05 14:13:43,,phf.tbe.taleo.net,NO,,,https://www.linkedin.com/jobs/view/3295361987,www.linkedin.com,https://www.linkedin.com/jobs/junior-research-assistant-jobs?trk=expired_jd_redirect,,,,,,
17,Training Developer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"Fort Lauderdale, FL",,,On-site,,,,,2022-09-12 16:43:08,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3266626622,www.linkedin.com,https://www.linkedin.com/jobs/view/3266626622,,,,,,
18,Project Coordinator (Construction) – Up to $60K annually!,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-09-26 21:02:43,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3287518159,www.linkedin.com,https://www.linkedin.com/jobs/view/3287518159,,,,,,
19,"Research Fellow (Theoretical Quantum Information Science), Centre for Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-04 14:46:12,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3294473262,www.linkedin.com,https://www.linkedin.com/jobs/view/3294473262,,,,,,
20,International Sales Manager,b3JnOjgxMDE1MjY4,Quantum Machines,,,,-,"Copenhagen, Capital Region, Denmark",,,On-site,,,,,2022-08-15 14:35:19,2022-10-05 14:13:43,,www.quantum-machines.co,NO,,,https://www.linkedin.com/jobs/view/3216044357,www.linkedin.com,https://www.linkedin.com/jobs/view/3216044357,,,,,,
21,Project Coordinator (Construction) – Up to $60K + benefits!,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-10-03 20:44:31,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3293803754,ca.linkedin.com,https://ca.linkedin.com/jobs/view/project-coordinator-construction-%E2%80%93-up-to-%2460k-%2B-benefits%21-at-quantum-management-services-ltd-3335335377,Project Coordinator (Construction) – Up to $60K + benefits!,"Montréal, Québec, Canada",Les Services de gestion Quantum ltée,,Temps plein,"Position: Project Coordinator (Construction)

Location: Downtown Montreal

Salary: Up to $60K per year + benefits

Do you have experience in the construction field? Are you looking for a new challenge? One of our top clients in real estate is looking to add a to their dynamic team!







If this sounds like the role for you, don't miss out! Please send your resume in Word format to Alessandra Di Peco at the following address: alessandra.dipeco@quantum.ca .

For more details, click here .

We’re also bringing the interviews to you by various web applications, virtually! Contact us today for your next opportunity."
22,"Research Fellow (Theoretical Quantum Information Science), Centre for Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-02 02:44:54,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3291585307,www.linkedin.com,https://www.linkedin.com/jobs/view/3291585307,,,,,,
23,Training Developer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"Hollywood, FL",,,On-site,,,,,2022-09-22 17:34:56,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3283833324,www.linkedin.com,https://www.linkedin.com/jobs/view/3283833324,,,,,,
24,"Research Fellow (David Wilkowski ''''s Group), Centre for Quantum Technologies #Urgent",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-22 02:45:46,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286969726,sg.linkedin.com,https://sg.linkedin.com/jobs/researcher-jobs?trk=expired_jd_redirect,,,,,,
25,Scientist/Physicist,b3JnOjgxMDE1MjY4,Quantum Machines,,,,-,"Copenhagen, Capital Region, Denmark",,,On-site,,,,,2022-08-15 14:35:19,2022-10-05 14:13:43,,www.quantum-machines.co,NO,,,https://www.linkedin.com/jobs/view/3216041596,www.linkedin.com,https://www.linkedin.com/jobs/view/3216041596,Scientist/Physicist,"Copenhague, Région de la Capitale, Danemark",Quantum Machines,,Temps plein,"Would you like to work in an exciting company, within a new and fast-growing field of electronics? Come and join Quantum Machines (QM), a company working within the development and commercialization of quantum computing. Established in 2018, QM is the leading provider of qubit-agnostic quantum control and operation systems, giving the world’s most leading researchers and organizations with the critical tools they need to develop useful quantum computers.

Quantum Machines is an Israeli based venture backed by global capital sponsors, including TLV Partners, Battery Ventures, Red Dot Capital Partners, Avigdor Willenz’ investment group, Harel Insurance, and others. In 2022, QM acquired the Danish company QDevil (established in 2016), a developer and producer of electronic instruments and parts specialized for quantum electronics research. Together, we are now able to support the quantum computing community with full stack solutions.

You will work in multiple areas, together with your colleagues:



We are looking for a person with these technical qualifications:"
26,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-30 14:46:16,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3284100788,www.linkedin.com,https://www.linkedin.com/jobs/view/3284100788,"Research Fellow, (Ultra-stable Cavities) Centre For Quantum Technologies","Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at www.quantumlah.org.


Our group has developed an optical atomic clock based on Lu+. Lutetium is a unique clock candidate in that it supports three clock transitions within the one atom enabling rigorous consistency checks on clock performance. We have shown that two of these transitions have very low systematic shifts making them competitive with the best systems in the world. In 2019 we demonstrated the feasibility of operating the clock with multiple ions which will enable improvements in measurement precision. More recently we demonstrated agreement between two clocks at the level of 10-18, which was limited by the measurement statistics and not systematic uncertainty. To further advance clock performance and develop local expertise in optical clocks, we now looking to establish in-house capabilities in the design and implementation of ultra-stable optical resonators.





The remuneration is competitive and depends on the expertise and skill set.


For enquiries and details about the position, please contact Murray Douglas at. Please include your consent by filling in the NUS Personal Data Consent for Job Applicants. Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).

Department : [[Centre For Quantum Technologies]] Job requisition ID : [[9192]]

Qualification

Doctorate (PhD)"
27,"Research Fellow (David Wilkowski ''''''''s Group), Centre for Quantum Technologies #Urgent",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-23 14:47:51,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286970479,www.linkedin.com,https://www.linkedin.com/jobs/view/3286970479,,,,,,
28,Staff Quantum Optical Research Scientist,b3JnOjE0MTA3,Lockheed Martin,,,,-,"Louisville, CO",,,On-site,,,,,2022-09-20 19:35:53,2022-10-05 14:13:43,,sjobs.brassring.com,NO,,,https://www.linkedin.com/jobs/view/3302417830,www.linkedin.com,https://www.linkedin.com/jobs/view/3302417830,,,,,,
29,Assistant Project Manager,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Ottawa, ON",,,On-site,,,,,2022-09-14 14:47:43,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3284330679,www.linkedin.com,https://www.linkedin.com/jobs/view/3284330679,,,,,,
30,"Research Fellow, Quantum Information Processing, Centre For Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-13 02:47:44,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286965912,sg.linkedin.com,https://sg.linkedin.com/jobs/researcher-jobs?trk=expired_jd_redirect,,,,,,
31,Customer Service / Data Entry Specialist – Up to $50K annually + Benefits!,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-10-03 14:43:41,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3293653493,www.linkedin.com,https://www.linkedin.com/jobs/view/3293653493,,,,,,
32,Many General Work Positions Available – Salary Between $16 and $19 per hour,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-09-09 20:57:55,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3254162786,www.linkedin.com,https://www.linkedin.com/jobs/view/3254162786,,,,,,
33,"Research Fellow (David Wilkowski ''s Group), Centre for Quantum Technologies #Urgent",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-20 14:50:37,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286971202,www.linkedin.com,https://www.linkedin.com/jobs/view/3286971202,,,,,,
34,Project Lead,b3JnOjgxMDE1Mjgy,Single Quantum,,,,-,"Delft, South Holland, Netherlands",,,On-site,,,,,2022-08-30 09:54:57,2022-10-05 14:13:43,,singlequantum.recruitee.com,NO,,,https://www.linkedin.com/jobs/view/3243302030,www.linkedin.com,https://www.linkedin.com/jobs/view/3243302030,,,,,,
35,Research Fellow (Multi-party Quantum Cryptography) Centre for Quantum Technologies,b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-04 14:46:34,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3294472386,www.linkedin.com,https://www.linkedin.com/jobs/view/3294472386,,,,,,
36,Intern - Physics Undergraduate R&D,b3JnOjYzMjEwMjg=,ColdQuanta,,,,-,"Boulder, CO",,,On-site,,,,,2022-09-01 02:57:38,2022-10-05 14:13:43,,apply.workable.com,NO,,,https://www.linkedin.com/jobs/view/3288831036,www.linkedin.com,https://www.linkedin.com/jobs/view/3288831036,,,,,,
37,Account Manager,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Urban agglomeration of Montreal, Quebec, Canada",,,,,,,,2022-09-19 20:58:07,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3271150350,www.linkedin.com,https://www.linkedin.com/jobs/view/3271150350,,,,,,
38,Project Management,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Montreal, QC",,,On-site,,,,,2022-09-15 14:48:50,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3265153926,www.linkedin.com,https://www.linkedin.com/jobs/view/3265153926,,,,,,
39,Marketing and Research Coordinator,b3JnOjEyNTA5NzE=,Quantum Management Services Ltd.,,,,-,"Toronto, ON",,,On-site,,,,,2022-09-21 14:48:25,2022-10-05 14:13:43,,www.quantum.ca,NO,,,https://www.linkedin.com/jobs/view/3287513939,ca.linkedin.com,https://ca.linkedin.com/jobs/marketing-research-coordinator-jobs?trk=expired_jd_redirect,,,,,,
40,Business Analyst,b3JnOjgxMDE1Mjg4,Quantum Phinance,,,,-,"Mumbai, Maharashtra, India",,,On-site,,,,,2022-08-28 15:30:48,2022-10-05 14:13:43,,www.hirist.com,NO,,,https://www.linkedin.com/jobs/view/3281603238,www.linkedin.com,https://www.linkedin.com/jobs/view/3281603238,,,,,,
41,"Research Engineer, Intern - Career Fairs",b3JnOjQ1ODgyNQ==,SRI International,,,,-,"Ann Arbor, MI",,,On-site,,,,,2022-09-29 05:51:48,2022-10-05 14:13:43,,careers-sri.icims.com,NO,,,https://www.linkedin.com/jobs/view/3293494371,www.linkedin.com,https://www.linkedin.com/jobs/view/3293494371,,,,,,
42,Trainer,b3JnOjEyMDQ5MTE=,Quantum Marine Stabilizers,,,,-,"Miami, FL",,,On-site,,,,,2022-09-23 17:44:17,2022-10-05 14:13:43,,www.ziprecruiter.com,NO,,,https://www.linkedin.com/jobs/view/3301942908,www.linkedin.com,https://www.linkedin.com/jobs/view/3301942908,,,,,,
43,Associate Consultant (Entry Level): Toronto/Calgary/Ottawa,b3JnOjU5NDM=,IBM,,,,-,"Toronto, ON",,,,,,,,2022-10-03 00:00:00,2022-10-05 14:13:43,,ibm.contacthr.com,NO,,,https://www.linkedin.com/jobs/view/3294496145,www.linkedin.com,https://www.linkedin.com/jobs/view/3294496145,,,,,,
44,Research Engineer - Career Fairs,b3JnOjQ1ODgyNQ==,SRI International,,,,-,"Ann Arbor, MI",,,On-site,,,,,2022-09-29 05:51:52,2022-10-05 14:13:43,,careers-sri.icims.com,NO,,,https://www.linkedin.com/jobs/view/3293494376,www.linkedin.com,https://www.linkedin.com/jobs/view/3293494376,,,,,,
45,"Research Fellow, Quantum Communication Theory ,Centre for Quantum Technologies",b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-09-25 02:45:10,2022-10-05 14:13:43,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3286965897,www.linkedin.com,https://www.linkedin.com/jobs/view/3286965897,,,,,,
